1 	-118.74626865671642 198.07463867460942
2 	-103.77622377622377 194.78456521829085
3 	-111.18840579710145 197.37467315920981
4 	-111.48936170212765 206.61591519447217
5	-141.4126984126984 211.2179446832362
6	-156.82499999999999 218.40435215825408
7	-183.38317757009347 206.15839318711193
8	-162.98214285714286 199.68072650675455
9	-31.86697247706422 177.62951267052458
10 	-290.74698795180723 193.26159581934121
11 	-98.61643835616438 193.61323755667561
12 	52.725099601593627 85.717711258505105
13	77.661814109742437 30.94889527181078
14	80.757185332011886 30.888968179747568
15	82.200930232558136 23.957143889051423
16	84.978119935170184 24.104318281928386
17	86.856824925816028 18.115303447610877
18	86.663403614457835 21.461203112076877
19	86.621155288822209 23.081571703497954
20	82.499552372426137 40.817685901360875
