1 	-121.95999999999999     187.33039902802747
2 	-133.57857142857142 180.41785102751822
3 	-119.421768707483   173.09145571959979
4	-68.759562841530055 161.4120312409118
5	-35.995215311004785 130.15954499820688
6	-3.106060606060606  106.24858341841818
7	23.119631901840492  73.779815317814126
8	37.111959287531803  66.653123442259115
9	50.287846481876329  47.231818192118773
10	56.301923076923075  34.802950750147033
11	64.04132231404958   27.979448388697428
12	69.430453879941439  22.432180090234834
13	72.893817204301072  19.28369873862
14	72.634877384196187  18.483446719744698
15	73.853174603174608  18.084483628872373
16	74.475260416666671  18.770736101345356
17	74.005284015852041  17.086537798178483
18	74.581151832460733  17.475861010119353
19	74.370712401055414  16.742297477416294
20	75.159846547314572  19.693853117555193
